"search_term_used","study_id","title","description","organism","relevance_score","url"
"heart","PXD002457","Characterizing cardiac molecular mechanisms of mammalian hibernation via  quantitative proteogenomics.","This study uses advanced proteogenomic approaches in a non-model organism to elucidate cardioprotective mechanisms used during mammalian hibernation. Mammalian hibernation is characterized by dramatic reductions in body temperature, heart rate, metabolism and oxygen consumption. These changes pose significant challenges to the physiology of hibernators, especially for the heart, which maintains function throughout extreme conditions resembling ischemia and reperfusion. To identify novel cardioad...","Spermophilus tridecemlineatus (Thirteen-lined ground squirrel)","21","https://osdr.nasa.gov/bio/repo/data/studies/PXD002457"
"heart","GSE61787","Gene expression profiles in the heart tissues of heart-specific Bmal1 knockout mice","Mice without cardiac Bmal1 function develop severe progressive heart failure with age.  To examine the mechanism underlying the failing heart phenotype observed in heart-specific Bmal1 knockout mice, microarray analyses were performed.  The analyses revealed that broad classes of genes regulating cellular energy metabolism were upregulated or downregulated in the heart tissues of heart-specific Bmal1 knockout mice compared with those of control animals.","Mus musculus","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE61787"
"heart","GSE25768","Model of heart failure induced by mild thiol-blocking with cystamine","Depletion of cardiac ATP content is a characteristic feature of heart failure in patients and experimental animal models. To analyze the impact of insufficient ATP supply on heart function we inhibited cellular respiration by disulfide poisoning with the mild thiol-blocking agent, cystamine. We chose 4 month-old apolipoprotein E (apoE)-deficient mice, which are highly vulnerable to increased oxygen and ATP demands. After 4 weeks of cystamine treatment (300 mg/kg in drinking water), echocardiogra...","Mus musculus","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE25768"
"cardiac","PXD014499","Molecular basis of b-adrenergic regulation of cardiac calcium current","Increased cardiac contractility during fight-or-flight response is caused by b-adrenergic augmentation of CaV1.2 channels. It is assumed that this iconic regulation involves phosphorylation of CaV1.2 a1/b-subunits. In transgenic murine hearts expressing fully PKA phosphorylation-deficient mutant a1C/b, this regulation persists, however, suggesting involvement of extra-channel factors. We here show that PKA up-regulates cardiac CaV1.2 channels by phosphorylating the small G-protein Rad, relieving...","Mus musculus (Mouse)","21","https://osdr.nasa.gov/bio/repo/data/studies/PXD014499"
"cardiac","PXD014500","Molecular basis of b-adrenergic regulation of cardiac calcium current","Increased cardiac contractility during fight-or-flight response is caused by b-adrenergic augmentation of CaV1.2 channels. It is assumed that this iconic regulation involves phosphorylation of CaV1.2 a1/b-subunits. In transgenic murine hearts expressing fully PKA phosphorylation-deficient mutant a1C/b, this regulation persists, however, suggesting involvement of extra-channel factors. We here show that PKA up-regulates cardiac CaV1.2 channels by phosphorylating the small G-protein Rad, relieving...","Mus musculus (Mouse)","21","https://osdr.nasa.gov/bio/repo/data/studies/PXD014500"
"cardiac","PXD014501","Molecular basis of b-adrenergic regulation of cardiac calcium current","Increased cardiac contractility during fight-or-flight response is caused by b-adrenergic augmentation of CaV1.2 channels. It is assumed that this iconic regulation involves phosphorylation of CaV1.2 a1/b-subunits. In transgenic murine hearts expressing fully PKA phosphorylation-deficient mutant a1C/b, this regulation persists, however, suggesting involvement of extra-channel factors. We here show that PKA up-regulates cardiac CaV1.2 channels by phosphorylating the small G-protein Rad, relieving...","Mus musculus (Mouse)","21","https://osdr.nasa.gov/bio/repo/data/studies/PXD014501"
"cardiac","PXD014624","Mechanical forces regulate cardiomyocyte myofilament maturation via the VCL-SSH1-CFL axis","Mechanical forces regulate cell behavior and tissue morphogenesis.  In particular, cardiac tissues require mechanical stimuli generated by the heartbeat for differentiation and maturation, but the molecular mechanisms underlying these processes remain unclear.  Here, we first show that mechanical forces acting via the mechanosensitive factor Vinculin (VCL) are essential for cardiomyocyte myofilament maturation and that cardiac contractility regulates the localization and activation of Vinculin. ...","Rattus norvegicus (Rat)","21","https://osdr.nasa.gov/bio/repo/data/studies/PXD014624"
"cardiac","PXD011249","The cardiac syndecan-4 interactome:A role for syndecan-4 innuclear translocation of muscle LIM protein (MLP)","Biomechanical stimuli and extracellular matrix cues are important initiators for the cardiac remodeling process, and signaling hubs in the sarcolemma are important contact points between the extracellular space and cell interior, sensing and transducing biomechanical signals into a cellular response. The transmembrane proteoglycan syndecan-4 localizes to these attachment points and has been shown important in initial stages of cardiac remodeling. The objective of this study was to map the cardia...","Rattus norvegicus (Rat)","21","https://osdr.nasa.gov/bio/repo/data/studies/PXD011249"
"cardiac","GSE89130","Transcriptomic profiling of cardiac remodeling in high phosphate exposed cardiomyoblasts","Cardiovascular disease (CVD) in chronic kidney disease (CKD) is characterized by vascular calcification and cardiac remodeling. CKD induced cardiac hypertrophy precedes cardiac fibrosis and is associated with left ventricular dysfunction. Elevated phosphate concentration due to renal failure is known to be involved in cardiac remodeling.","Rattus norvegicus","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE89130"
"cardiac","GSE50637","Transcriptional regulation patterns revealed by high-resolution chromatin immunoprecipitation during cardiac hypertrophy","Results: Our data revealed novel transcriptional patterns during cardiac growth conditions. The results showed that most of the essential genes are regulated by promoter clearance of paused RNA pol II, while de novo recruitment is required for regulation of mostly speclaized genes during cardiac growth. We have identified two major modes of gene regulation durign cardiac hypertrophy and four transcriptional growth patterns. The results are published in January 2013 issue of Journal of Biological...","Mus musculus","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE50637"
"cardiac","GSE61486","Lineage Reprogramming of mouse fibroblasts into induced cardiac progenitor cells by defined factors","Mouse adult cardiac fibroblasts were infected with doxycycline inducible, 11 cardiac factors. Addition of doxycycline resulted in appearance of proliferative cells that had high nuclear-to-cytoplasmic ratio. We called these cells iCPCs. iCPC were stably reporgrammed and could be maintined in proliferative state without doxycycline. Here we compared the transcriptome of iCPC with their parental cells; adult cardiac fibroblasts. We found that iCPCs have upregulated genes involved in cardiovascular...","Mus musculus","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE61486"
"blood pressure","PXD004207","Mouse VSMC LC-MSMS","Vascular smooth muscle cells (VSMCs) are a major cell type of the arterial wall and their functionality is associated with blood pressure regulation. Although royal jelly (RJ) has reported effects on anti-hypertension, the mechanism of blood pressure regulation by major royal jelly protein 1 (MRJP1), the most abundant RJ protein, is still unknown. Therefore, mrjp1 gene was delivered into mouse VSMCs to investigate how MRJP1 influences the VSMC functionality by functional and proteomic analysis.T...","Mus musculus (Mouse)","21","https://osdr.nasa.gov/bio/repo/data/studies/PXD004207"
"blood pressure","GSE64613","CaMKII inhibition in smooth muscle cells controls Ang-II-induced gene transcription in the aorta","The Ca2+/calmodulin-dependent kinase II is expressed in smooth muscle and believed to mediate intracellular calcium handling and calcium-dependent gene transcription. CaMKII is activated by Angiotensin-II. The multifunctional calcium/calmodulin-dependent kinase II (CaMKII) is activated by Angiotensin-II (Ang-II) in vascular smooth muscle cells (VSMC), but its impact on hypertension remains unknown. In our transgenic mice that express the inhibitor peptide CaMKIIN in smooth muscle (TG SM-CaMKIIN)...","Mus musculus","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE64613"
"blood pressure","GSE126709","Expression data from myocardial tissue from Spontaneously hypertensive rat (SHR) and its minimal congenic strain PD5","Spontaneously hypertensive rat (SHR; Rat Genome Database (RGD) ID: 631848) is probably the most commonly used rodent model for essential hypertension. Its minimal congenic subline PD5 ( SHR.PD-(D8Rat42-D8Arb23)/Cub; (RGD ID: 1641851)) which differs by a short segment of chromosome 8 (encompassing only 7 genes) displays lower levels of blood pressure and amelioration of cardiac fibrosis compared to SHR. We used microarray aproach to unravel gene expression differences between SHR and PD5 responsi...","Rattus norvegicus","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE126709"
"blood pressure","GSE3125","Comprehensive description of the transcriptome of neurointermediate lobe in euhydrated and dehydrated rat","Keywords: DEHYDRATED - NIL The hypothalamic paraventricular (PVN) and supraoptic (SON) nuclei  are important integrative structures that regulate co-ordinated  responses to perturbations in cardiovascular homeostasis. Through  descending projections from parvocellular neurons to the brainstem,  the PVN acts as an autonomic 'premotor nucleus', regulating reflex  changes in sympathetic nerve activity that are involved in blood  pressure and blood volume regulation. Endocrine responses are  mediate...","Rattus norvegicus","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE3125"
"blood pressure","GSE3111","Comprehensive description of the transcriptome of PVN in euhydrated and dehydrated rat","Keywords: DEHYDRATION, PVN The hypothalamic paraventricular (PVN) and supraoptic (SON) nuclei  are important integrative structures that regulate co-ordinated  responses to perturbations in cardiovascular homeostasis. Through  descending projections from parvocellular neurons to the brainstem,  the PVN acts as an autonomic 'premotor nucleus', regulating reflex  changes in sympathetic nerve activity that are involved in blood  pressure and blood volume regulation. Endocrine responses are  mediate...","Rattus norvegicus","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE3111"
"blood pressure","GSE3110","Comprehensive description of the transcriptome of hypothalamo-neurohypophyseal system in euhydrated and dehydrated rat","Keywords: Dehydration The hypothalamic paraventricular (PVN) and supraoptic (SON) nuclei  are important integrative structures that regulate co-ordinated  responses to perturbations in cardiovascular homeostasis. Through  descending projections from parvocellular neurons to the brainstem,  the PVN acts as an autonomic 'premotor nucleus', regulating reflex  changes in sympathetic nerve activity that are involved in blood  pressure and blood volume regulation. Endocrine responses are  mediated thr...","Rattus norvegicus","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE3110"
"circulation","GSE16740","The effect of cardiac troponin T2 knockdown on gene expression in zebrafish embryos"," We examined the transcriptional effect of preventing cardiac contraction in zebrafish embryos which can be deprived of circulation without experiencing hypoxia since the fish obtain sufficient oxygen via diffusion. Morpholino antisense knockdown of cardiac troponin T2 (tnnt2) prevented cardiac contraction without affecting vascular development. We concluded that absence of hemodynamic force induces endothelial CXCR4a up-regulation and promotes recovery of blood flow. We used microarrays to defi...","Danio rerio","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE16740"
"human spaceflight","OSD-359","Proteome profiling of the exhaled breath condensate after long-term spaceflights","The aim of the study was to analyze exhaled breath condensate (EBC) proteome changes due to the effects of spaceflight factors. All the protocols were approved at the Institute of Biomedical Problems – Russian Federation State Scientific Research Center in the frame of Protocon experiment. EBC samples were collected by commercial devices RTube one month before flight (background) at the Yu. A. Gagarin Research and Test Cosmonaut Training Center, immediately after landing of the landing modules i...","H, o, m, o,  , s, a, p, i, e, n, s","21","https://osdr.nasa.gov/bio/repo/data/studies/OSD-359"
"space medicine","GSE3307","Comparative profiling in 13 muscle disease groups"," Hypothesis:   This data set is able to define biochemical pathways that are either specific for a disease group, or shared between disease groups. For example, this data set has been used to determine the biochemical pathway perturbations that are shared between the two different types of Emery Dreifuss muscular dystrophy (lamin A/C, and emerin). Juvenile dermatomyositis (JDM): Tezak Z, Hoffman EP, Lutz JL, Fedczyna TO, Stephan D, Bremer EG, Krasnoselska-Riz I, Kumar A, Pachman LM. Gene express...","Homo sapiens","21","https://osdr.nasa.gov/bio/repo/data/studies/GSE3307"
"cardiovascular","GSE117715","A Single-Cell Transcriptomic Atlas of Artery Aging in Cynomolgus Monkey","Aging is one of the major risk factors for cardiovascular diseases; however, our understanding of how aging affects the cellular and molecular components of vasculatures and contributes to cardiovascular diseases is still limited. Compared with other model organisms, monkeys are more similar to humans in terms of their genetic, anatomical and physiological features, thus representing an ideal model for studying vascular aging and its effect on diseases.","Macaca fascicularis","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE117715"
"cardiovascular","PXD012752","Vipera ammodytes ammodytes venom proteomics","The nose-horned viper, its nominotypical subspecies Vipera ammodytes ammodytes (Vaa) in particular is, medically, the most relevant snake in Europe. The local and systemic clinical manifestations of poisoning by the venom of this snake are the result of the pathophysiological effects inflicted by enzymatic and non-enzymatic venom components acting, most prominently, on blood, cardiovascular and nerve systems. This venom comprises the most complex mixture of pharmacologically active proteins and ...","Vipera ammodytes ammodytes","20","https://osdr.nasa.gov/bio/repo/data/studies/PXD012752"
"heart","PXD007171","Dynamic adaptation of myocardial proteome during heart failure development after induction of left ventricular pressure overload in mice","We analyzed time dependent global proteomic adaptations during heart failure (HF) progression in a mouse model, suffering from left ventricular pressure overload due to transverse aortic constriction (TAC), to gain deeper insights in the disease development and identify new biomarker candidates.  The hearts from TAC and sham mice were examined by cardiac MRI on either day 4, 14, 21, 28, 42, and 56 after surgery (n=6 group/time point). At each time point, proteomes of the left (LV) and right vent...","Mus musculus (Mouse)","20","https://osdr.nasa.gov/bio/repo/data/studies/PXD007171"
"heart","PXD001585","Phosphodiesterase 9A Controls Nitric-oxide Independent cGMP and Hypertrophic Heart Disease","Rat neonatal cardiac myocytes were treated with PDE5 and PDE9 inhibitor in the presence and absence of L-NAME.","Rattus norvegicus (Rat)","20","https://osdr.nasa.gov/bio/repo/data/studies/PXD001585"
"heart","PXD011783","Multipotent fetal-derived Cdx2 cells from placenta regenerate the heart","Placental Cdx2 cells can be isolated and utilized for cardiac regeneration in a mouse model of myocardial infarction with evidence of multipotentiality both in vitro and in vivo","Mus musculus (Mouse)","20","https://osdr.nasa.gov/bio/repo/data/studies/PXD011783"
"heart","PXD006120","Extracellular matrix downregulation in the Drosophila heart preserves contractile function and improves lifespan","Aging is associated with extensive remodeling of the heart, including basement membrane (BM) components that surround cardiomyocytes. Remodeling is thought to impair cardiac mechanotransduction, but the contribution of specific BM components to age-related lateral communication between cardiomyocytes is unclear. Using a genetically tractable, rapidly aging model with sufficient cardiac genetic homology and morphology, e.g. Drosophila melanogaster, we observed differential regulation of BM collag...","Drosophila melanogaster (Fruit fly)","20","https://osdr.nasa.gov/bio/repo/data/studies/PXD006120"
"heart","PXD010876","Zebrafish SWATH-MS spectral library to quantify 10,000 proteins","Sequential window acquisition of all theoretical mass spectra (SWATH-MS) requires a spectral library to extract quantitative measurements from the mass spectrometry data acquired in data-independent acquisition mode (DIA). Large combined spectral libraries containing SWATH assays have been generated for humans and several other organisms, but so far no publicly available library exists for measuring the proteome of zebrafish, a rapidly emerging model system in biomedical research. Here, we prese...","Danio rerio (Zebrafish) (Brachydanio rerio)","20","https://osdr.nasa.gov/bio/repo/data/studies/PXD010876"
"heart","GSE114116","Protective role of oleic acid in angiotensin II-induced cardiac remodeling","To gain mechanistic insights into the protective effects of oleic acid (OA) on  angiotensin II(AngII)-induced cardiac remodeling, a whole transcriptomic analysis of heart were performed using RNA-seq.Comparing with heart of normal mice, a total of 1468 genes (987 upregulated and 481 down regulated) were differentially expressed (FDR<0.05) in heart of AngII-induced mice. Comparing with heart of AngII-induced mice,  a total of 785 genes (162 upregulated and 623 down regulated) were differentially ...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE114116"
"heart","GSE40600","Gene expression in the embryonic Lrrc10 knockout heart","LRRC10 is a heart-specific gene required for proper cardiac function. The effects of Lrrc10 deletion on gene expression in the embryonic mouse heart was investigated.","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE40600"
"heart","GSE4254","Bis(2-chloroethoxy)methane-induced heart toxicity and recovery in male fisher rats","Specific gene changes after exposure to the heart toxin, bis(2-chloroethoxy)methane,  were analyzed to elucidate critical pathways associated with recovery from heart toxicity.   Bis(2-chloroethoxy)methane was administered  to male F344/N rats at 0, 200, 400, or 600 mg/kg by dermal exposure for up to 16 days.   Heart toxicity occurred at day 2 of exposure in all three regions of the heart (atrium, ventricle, interventricular septum) and was characterized by myofiber vacuolation, necrosis, mononu...","Rattus norvegicus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE4254"
"cardiac","GSE106897","Loss of Lin28a Attenuates Cardiac Hypertrophy Induced by Pressure Overload","Pathological cardiac hypertrophy is a major risk factor for the development of heart failure and sudden cardiac death, yet the molecular mechanism of cardiac hypertrophy is not fully understood. Recently, we found that the expression of Lin28a, a RNA-binding protein, was significantly upregulated during the early stages of cardiac hypertrophy. Interestingly, cardiac specific conditional deletion of Lin28a blunted pressure overload-induced cardiac hypertrophic responses. Given that Lin28a can bin...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE106897"
"cardiac","GSE50531","Cardiogenic genes expressed in cardiac fibroblasts contribute to heart development and repair","Objective: To identify genes uniquely expressed in the cardiac fibroblast pool, we performed an unbiased comparative analysis between cardiac and tail fibroblasts, and tracked cardiac fibroblasts after injury to determine their contribution to myocardial regeneration. Conclusions: The core transcriptional identity of cardiac fibroblasts reflects their embryological origin, provoking novel interpretations for studies on more specialized cardiac progenitors, and offering a novel perspective for re...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE50531"
"cardiac","GSE112315","Synergistic Axrivation of the Cardiac Enhancer Lanscape during Caridac Reprogramming (ChIP-seq data set)","Fibroblasts can be directly reprogrammed toward a cardiac fate by introducing cardiogenic transcription factors (TFs), although the underlying mechanisms of the cardiac reprogramming process remain unclear. Three cardiac TFs, GATA4, MEF2C, and Tbx5 (referred to as GMT) can activate cardiac genes in fibroblasts and their cardiogenic activity is enhanced by the Hand2 TF and the Akt1 kinase. To understand the mechanistic basis of cardiac reprogramming, we performed a genome-wide analysis of cardiog...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE112315"
"cardiac","GSE30076","Epigenetic repression of cardiac progenitor gene expression by Ezh2 is required for postnatal cardiac homeostasis","Adult-onset diseases can be associated with in utero events, but mechanisms for such temporally distant dysregulation of organ function remain unknown.  The polycomb histone methyltransferase, Ezh2, stabilizes transcription by depositing repressive histone marks during development that persist into adulthood, but the function of Ezh2-mediated transcriptional stability in postnatal organ homeostasis is not understood. Here, we show that Ezh2 stabilizes the postnatal cardiac gene expression progra...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE30076"
"cardiac","GSE112316","Synergistic Axrivation of the Cardiac Enhancer Lanscape during Caridac Reprogramming (RNA-seq data set)","Fibroblasts can be directly reprogrammed toward a cardiac fate by introducing cardiogenic transcription factors (TFs), although the underlying mechanisms of the cardiac reprogramming process remain unclear. Three cardiac TFs, GATA4, MEF2C, and Tbx5 (referred to as GMT) can activate cardiac genes in fibroblasts and their cardiogenic activity is enhanced by the Hand2 TF and the Akt1 kinase. To understand the mechanistic basis of cardiac reprogramming, we performed a genome-wide analysis of cardiog...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE112316"
"cardiac","GSE64403","Transcriptional Reversion of Cardiac Myocyte Fate During Mammalian Cardiac Regeneration.","Rationale: Neonatal mice have the capacity to regenerate their hearts in response to injury, but this potential is lost after the first week of life. The transcriptional changes that underpin mammalian cardiac regeneration have not been fully characterized at the molecular level. Objective: The objectives of our study were to determine if myocytes revert the transcriptional phenotype to a less differentiated state during regeneration and to systematically interrogate the transcriptional data to ...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE64403"
"cardiac","GSE69726","Myocardin-related transcription factors are required for cardiac development and function","Myocardin-Related Transcription Factors A and B (MRTF-A and MRTF-B) are highly homologous proteins that function as powerful coactivators of serum response factor (SRF), a ubiquitously expressed transcription factor essential for cardiac development. The SRF/MRTF complex binds to CArG boxes found in the control regions of genes that regulate cytoskeletal dynamics and muscle contraction, among other processes. While SRF is required for heart development and function, the role of MRTFs in the deve...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE69726"
"cardiac","GSE34274","Gene expression profile of right ventricles from adult wild type and Ezh2-deficient hearts","Adult-onset diseases can be associated with in utero events, but mechanisms for this remain unknown. The polycomb histone methyltransferase, Ezh2, stabilizes transcription by depositing repressive marks during development that persist into adulthood, but its function in postnatal organ homeostasis is unknown. We show that Ezh2 stabilizes cardiac gene expression and prevents cardiac pathology by repressing the homeodomain transcription factor Six1, which functions in cardiac progenitors but is st...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE34274"
"cardiac","GSE25757","SAGE analysis of cardiac fibroblasts isolated from adult mouse heart","A total number of 118654 tags was sequenced. After removal of duplicate ditags and linker-derived sequences 110169 tags remained. RNA was prepared from quiescent, serum-starved cardiac fibroblasts in passage 15. Cardiac fibroblasts were isolated from 3-month old C57BL/6 mice.","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE25757"
"cardiac","GSE12420","Gene profiling of heart atria in PI3K and Mst1 mouse models"," We used microarrays to detail genome-wide gene expression underlying cardiac myocyte pathologies and identified candidate genes and specific pathways affecting cardiac myopathies Keywords: transgenics, cardiac disease analysis","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE12420"
"blood pressure","GSE85915","Blood pressure regulation by CD4+ lymphocytes expressing choline acetyltransferase","Blood pressure regulation is known to be maintained by a neuro-endocrine circuit, but whether immune cells contribute to blood pressure homeostasis has not been determined. We previously showed that CD4+ T lymphocytes that express choline acetyltransferase (ChAT), which catalyzes the synthesis of the vasorelaxant acetylcholine, relay neural signals. Here we show that these CD4 +CD44hiCD62L lo T helper cells by gene expression are a distinct T-cell population defined by ChAT (CD4 TChAT). Mice lac...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE85915"
"blood pressure","GSE87746","Gender differences in the cytokines and chemokines gene expression profiles within the medulla oblongata of SHRs","To unveil the gender differences in the central regulation of blood pressure, we investigated the gene expression profile of cytokines and chemokines in the medulla oblongata of female SHRs compared to that of their male counterparts. Medulla oblongata is a region of the brain containing multiple blood pressure regulation centers, including the nucleus of the solitary tract (NTS), a pivotal region for regulating the set-point of arterial pressure. Our previous findings suggest that the NTS of ma...","Rattus norvegicus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE87746"
"blood pressure","GSE101977","RNA-seq transcriptonal profiling in mouse hearts under pressure overload","Heart failure is a leading cause of death in US. Hypertension is one of the most important risk factor of heart failure. In the presence of high blood pressure, the heart manifests hypertrophic growth to ameliorate ventricular wall stress. This once adaptive response may progress into decompensation and heart failure. The precise mechanisms governing this transition remain elusive. Here, we take advantage of mouse surgical model transverce aortic constriction (TAC) to induce pressure overload in...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE101977"
"blood pressure","GSE5946","High-salt diet leads to differential gene expression in DOCA-treated mice"," In the present study we made use of the (1-renin) DOCA-salt mouse model - which has been previously shown to develop cardiac and renal hypertrophy  - to evaluate the direct effects of high-salt diet on cardiac function and gene expression profiling. The comparison between low-salt and high-salt DOCA-treated mice will reveal what genes are directly modulated by sodium in (normotensive) DOCA-treated mice. Wang Q, Hummler E, Nussberger J, Clement S, Gabbiani G, Brunner HR, Burnier M. Blood pressur...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE5946"
"blood pressure","GSE84744","Impairment of cardiac natriuretic peptide signaling develops the excessive cardiac hypertrophy during lactation period","Numerous genes were altered in the postpartum lactating period both in Npr1+/+ and Npr1-/-. Additionally, the involvement of inflammatory responce in the cardiac hypertrophy in lactating-Npr1-/- mice was clarified bythe gene ontology analysis. Two natriuretic peptides, atrial natriuretic peptide (ANP) and brain natriuretic peptide (BNP) act through the common receptor, guanylyl cyclase-A (GC-A) to lower blood pressure, induce diuresis/natriuresis and dilate blood vessels. Recently, we discovered...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE84744"
"blood pressure","GSE2739","Effect of AT1 receptor anatagonist on brain microvessels from hypertensive and normotensive rats","In hypertension, abnormal regulation of microcirculation and endothelial dysfunction enhances vulnerability to hypertensive brain damage. In addition to lowering blood pressure, blockade of Angiotensin II AT1 receptors protects against stroke and stress in different animal models and this treatment may be of therapeutic advantage. We studied gene expression using Affymetrix Rat Genome U34A arrays from brain microvessels of spontaneously hypertensive rats (SHR) and their normotensive Wistar Kyoto...","Rattus norvegicus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE2739"
"circulation","GSE110909","Robust hematopoietic stem cell activity is derived from pre-circulation embryos but not yolk sacs","The embryonic site of definitive hematopoietic stem cell (dHSC) origination has been debated for decades. Although an intra-embryonic origin is supported, recent data suggest that a large fraction of adult blood derives from the yolk sac (YS). Investigating the origins of hematopoiesis before heartbeat onset (i.e. 5-7 somite pairs (sp)) is precluded by a lack of assays that can distinguish dHSC precursors in early embryos. Here, we report robust, multi-lineage and serially transplantable dHSC ac...","Mus musculus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE110909"
"circulation","GSE17149","Potential mechanisms of low salt diet induced cardiac diseases","We hypothesized that a LS intake leads to a cascade of events involving increases in plasma AII, the AT1 receptor, NADPH oxidase and O2˙ production and ultimately to reduced NO bioactivity. This reduced NO bioactivity results in altered control of the coronary circulation and cardiac metabolism. This study was undertaken to determine the global changes in cardiac gene expression in dogs fed LS diet (0.5% NaCl) for two weeks. Cardiac RNA was extracted from the control and LS fed groups (n=4). Sta...","Canis lupus familiaris","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE17149"
"circulation","GSE108342","Expression Profiles of Long Noncoding RNAs and mRNAs in Post-Cardiac Arrest Rat Brains","To investigate lncRNA and mRNA expression profiles in post-cardiac arrest (CA) brains, an external transthoracic electrical current was applied for eight minutes to induce CA (the CA group). Four rats received sham-operations and served as the blank control (BC) group. Upon return of spontaneous circulation (ROSC), lncRNA and mRNA expression in the rat cerebral cortex was assayed with high-throughput Agilent lncRNA and mRNA microarrays. Thirty-seven lncRNAs were upregulated and 21 lncRNAs were d...","Rattus norvegicus","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE108342"
"human spaceflight","OSD-353","The Effects of Spaceflight Factors on the Human Plasma Proteome, Including Both Real Space Missions and Ground-Based Experiments","The aim of the study was to continue of the proteomic data accumulation on the effects of space flight factors on the human body, including ground-based model experiments. Blood plasma samples were collected from 5 healthy men included in the 21 days head-down bed rest experiment (HDBR) and 5 volunteers participating in a 21 day long dry immersion experiment.","H, o, m, o,  , s, a, p, i, e, n, s","20","https://osdr.nasa.gov/bio/repo/data/studies/OSD-353"
"microgravity human","OSD-670","CI Asteroid Regolith as an In Situ Plant Growth Medium for Space Crop Production","Human expansion into the solar system is currently at the forefront of space research. For our astronauts to survive, they will need to be fed a healthy and nutritious diet on a consistent basis. Right now, our current method of feeding astronauts consists of resupplied prepackaged food from Earth, which is unsustainable for long-term missions. Using planetary resources via in situ resource utilization to grow crops is the next step toward sustainability in space. Asteroids are an abundant space...","R, a, p, h, a, n, u, s,  , s, a, t, i, v, u, s,  ,  ,  ,  ,  , L, a, c, t, u, c, a,  , s, a, t, i, v, a,  ,  ,  ,  ,  , C, a, p, s, i, c, u, m,  , a, n, n, u, u, m","20","https://osdr.nasa.gov/bio/repo/data/studies/OSD-670"
"vascular","PXD002650","Endothelial cell proteomic response to Rickettsia conorii infection","Rickettsia conorii is the etiologic agent of Mediterranean spotted fever, a re-emerging disease with significant mortality.  This obligate, gram-negative intracellular pathogen is transmitted via tick bites, resulting in disseminated vascular endothelial cell infection with vascular leakage. In the infected human, Rickettsia conorii infects endothelial cells, stimulating expression of cytokines and pro-coagulant factors.  However, the integrated proteomic response of human endothelial cells to R...","Homo sapiens (Human)","20","https://osdr.nasa.gov/bio/repo/data/studies/PXD002650"
"vascular","PXD000462","VEGF Study in Primary Human Endothelial Cells","The process of angiogenesis is under complex regulation in adult organisms, particularly as it often occurs in an inflammatory post-wound environment. As such, there are many impacting factors that will regulate the generation of new blood vessels which include not only pro-angiogenic growth factors such as vascular endothelial growth factor, but also angiostatic factors. During initial post-wound hemostasis, a large initial bolus of platelet factor 4 is released into localized areas of damage p...","Homo sapiens (Human)","20","https://osdr.nasa.gov/bio/repo/data/studies/PXD000462"
"vascular","GSE26146","Expression data from cultured human lung tissue-derived fibroblasts and human vascular adventitial fibroblasts","In order to find the difference between human lung tissue-derived fibroblasts and human vascular adventitial fibroblasts for enhancing tumor formation ablity of human lung adenocarcinoma cell line A549, we found that human vascular adventitial fibroblasts enhance A549 tumor formation in vivo compared to human lung tissue-derived fibroblasts.  To find the responsible genes for this phenomena, we used microarray analysis to find the expression difference between lung tissue-derived fibroblasts and...","Homo sapiens","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE26146"
